id,listing_url,longitude,latitude,guest_num,room_type,price,instant_bookable,bedrooms,beds,bathrooms,superhost,pet_allowed,event_allowed,smoking_allowed,Free_parking,Family_kid_friendly,Washer,Hangers,Lock_on_bedroom_door,Wireless_Internet,Laptop_friendly_workspace,TV,Shampoo,Self_Check_in,Heating,Hair_dryer,Indoor_fireplace,Dryer,Iron,Breakfast,Doorman,Buzzer_wireless_intercom,Air_conditioning,Pool,Kitchen,crime_count
11438453,https://www.airbnb.com/rooms/11438453,-79.40097987809514,43.70765555412482,2,Entire home/apt,80.0,f,0,1,1.0,t,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,4
13273607,https://www.airbnb.com/rooms/13273607,-79.40751456948288,43.70283427650789,2,Entire home/apt,85.0,f,1,1,1.0,f,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1641331,https://www.airbnb.com/rooms/1641331,-79.40328382591909,43.70886650641783,7,Entire home/apt,203.0,f,4,4,2.0,f,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1
5606510,https://www.airbnb.com/rooms/5606510,-79.40064293907508,43.71339786235127,2,Entire home/apt,73.0,t,1,1,1.0,f,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,2
1608984,https://www.airbnb.com/rooms/1608984,-79.40491751042401,43.703772690313066,2,Private room,95.0,f,1,1,1.0,f,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0
1610027,https://www.airbnb.com/rooms/1610027,-79.4050310744278,43.70420875965184,8,Entire home/apt,249.0,f,2,4,1.0,f,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0
9406020,https://www.airbnb.com/rooms/9406020,-79.40506753500007,43.70574092042305,2,Private room,69.0,f,1,1,1.0,f,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,6
5748902,https://www.airbnb.com/rooms/5748902,-79.3990862900246,43.70488520359356,3,Entire home/apt,176.0,f,1,1,1.0,f,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1
14773318,https://www.airbnb.com/rooms/14773318,-79.40206129033393,43.706358090123416,2,Entire home/apt,120.0,f,1,1,1.0,f,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,7
9126561,https://www.airbnb.com/rooms/9126561,-79.40603751795325,43.70347282528594,8,Entire home/apt,319.0,f,3,4,2.0,f,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0
15173402,https://www.airbnb.com/rooms/15173402,-79.39659166006973,43.695762089218185,2,Entire home/apt,91.0,t,0,1,1.0,f,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,8
9412339,https://www.airbnb.com/rooms/9412339,-79.40450418168108,43.70427525431789,2,Private room,99.0,f,1,1,1.0,f,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0
18871753,https://www.airbnb.com/rooms/18871753,-79.4065950440722,43.70402127741094,4,Entire home/apt,126.0,t,2,2,1.0,f,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1
3798290,https://www.airbnb.com/rooms/3798290,-79.40263964597325,43.708165621897535,2,Entire home/apt,70.0,f,1,1,1.0,f,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1
8778656,https://www.airbnb.com/rooms/8778656,-79.41077827406384,43.70950276965786,6,Entire home/apt,499.0,f,4,3,4.0,f,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,2
5029231,https://www.airbnb.com/rooms/5029231,-79.40536049876867,43.701718940485954,10,Entire home/apt,1100.0,f,5,5,5.5,f,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0
127380,https://www.airbnb.com/rooms/127380,-79.40820376988661,43.70370425342168,2,Private room,59.0,f,1,1,1.0,f,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,2
